command,mean,stddev,median,user,system,min,max,parameter_f,parameter_h
timeout 15m /bin/time storm --prism /data/tmp/factories-12.prism --prop 'P=? [ F <= 10 allStrike]' --timemem -e sparse > /data/results/storm-2023-08-17+10:57:13/log-factory-12-sparse-10,5.235509828733334,0.09386530552838851,5.2089043724,5.132157106666667,0.09764706,5.1578191074,5.3398060064,12,10
timeout 15m /bin/time storm --prism /data/tmp/factories-12.prism --prop 'P=? [ F <= 20 allStrike]' --timemem -e sparse > /data/results/storm-2023-08-17+10:57:13/log-factory-12-sparse-20,5.3071007564,0.07613507033050364,5.2748040994,5.199027439999999,0.10189239333333332,5.2524377624,5.3940604074,12,20
timeout 15m /bin/time storm --prism /data/tmp/factories-12.prism --prop 'P=? [ F <= 40 allStrike]' --timemem -e sparse > /data/results/storm-2023-08-17+10:57:13/log-factory-12-sparse-40,5.579210098733333,0.06620327522388401,5.5683921534,5.470827773333333,0.10204972666666666,5.5190820384,5.6501561044,12,40
timeout 15m /bin/time storm --prism /data/tmp/factories-12.prism --prop 'P=? [ F <= 80 allStrike]' --timemem -e sparse > /data/results/storm-2023-08-17+10:57:13/log-factory-12-sparse-80,6.0446707874,0.04344946530403693,6.0295235524,5.93858844,0.09947806,6.0108224664,6.0936663434,12,80
timeout 15m /bin/time storm --prism /data/tmp/factories-12.prism --prop 'P=? [ F <= 160 allStrike]' --timemem -e sparse > /data/results/storm-2023-08-17+10:57:13/log-factory-12-sparse-160,6.9802446124,0.08363027932014758,7.0031079813999995,6.875595773333333,0.09650272666666666,6.8875603994,7.0500654564,12,160
