command,mean,stddev,median,user,system,min,max,parameter_h,parameter_p,parameter_t
timeout 30m /bin/time storm --prism /data/tmp/snakes_ladders.txt-3.prism --prop 'P=? [ F<=10 finished ]' --timemem -e sparse -v > /data/results/storm-2023-08-27+20:05:02/log-fixed-snakes_ladders.txt-3-10,4.799060659273333,0.025211686769403236,4.81132951594,4.72449046,0.06869587999999999,4.77006282094,4.815789640939999,10,3,snakes_ladders.txt
timeout 30m /bin/time storm --prism /data/tmp/snakes_ladders.txt-3.prism --prop 'P=? [ F<=20 finished ]' --timemem -e sparse -v > /data/results/storm-2023-08-27+20:05:02/log-fixed-snakes_ladders.txt-3-20,5.397414714273332,0.026980509757606908,5.3851061289399995,5.312331126666667,0.07913388,5.37878348794,5.42835452594,20,3,snakes_ladders.txt
timeout 30m /bin/time storm --prism /data/tmp/snakes_ladders.txt-3.prism --prop 'P=? [ F<=40 finished ]' --timemem -e sparse -v > /data/results/storm-2023-08-27+20:05:02/log-fixed-snakes_ladders.txt-3-40,6.3441129946066654,0.01903631600593835,6.34593836094,6.255164126666666,0.08189554666666665,6.324229745939999,6.36217087694,40,3,snakes_ladders.txt
timeout 30m /bin/time storm --prism /data/tmp/snakes_ladders.txt-3.prism --prop 'P=? [ F<=80 finished ]' --timemem -e sparse -v > /data/results/storm-2023-08-27+20:05:02/log-fixed-snakes_ladders.txt-3-80,8.253465407273332,0.0337434866853253,8.260091187939999,8.167411126666666,0.07687654666666666,8.216900491939999,8.28340454194,80,3,snakes_ladders.txt
timeout 30m /bin/time storm --prism /data/tmp/snakes_ladders.txt-3.prism --prop 'P=? [ F<=160 finished ]' --timemem -e sparse -v > /data/results/storm-2023-08-27+20:05:02/log-fixed-snakes_ladders.txt-3-160,12.05853141094,0.047892657429653464,12.07472192194,11.977652126666667,0.06676288,12.00464197294,12.09623033794,160,3,snakes_ladders.txt
timeout 30m /bin/time storm --prism /data/tmp/snakes_ladders.txt-3.prism --prop 'P=? [ F<=320 finished ]' --timemem -e sparse -v > /data/results/storm-2023-08-27+20:05:02/log-fixed-snakes_ladders.txt-3-320,19.43391817294,0.025608600754290663,19.440933583939998,19.33417346,0.07892654666666667,19.40553299894,19.45528793594,320,3,snakes_ladders.txt
